"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.935114220E-1,-9.391828626E-2,1.298106313E-1,9.809974670E0,9.811283019E0
1.959749120E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
1.984383490E-1,-8.853443712E-2,1.298106313E-1,9.786046028E0,9.787307393E0
2.009018390E-1,-8.434699476E-2,1.250249892E-1,9.809974670E0,9.811133915E0
2.033652760E-1,-1.034895778E-1,1.202393398E-1,9.800403595E0,9.801687519E0
2.058287660E-1,-9.332008660E-2,1.202393398E-1,9.790832520E0,9.792015501E0
2.082922040E-1,-9.332008660E-2,1.202393398E-1,9.800403595E0,9.801585421E0
2.107556930E-1,-1.130608693E-1,1.345962733E-1,9.800403595E0,9.801979879E0
2.132191310E-1,-9.332008660E-2,1.058823988E-1,9.805189133E0,9.806204855E0
2.156826200E-1,-7.896314561E-2,1.298106313E-1,9.790832520E0,9.792011407E0
2.181460580E-1,-9.391828626E-2,1.250249892E-1,9.805189133E0,9.806435939E0
2.206095470E-1,-7.956135273E-2,1.250249892E-1,9.805189133E0,9.806308948E0
2.230729850E-1,-6.939185411E-2,1.250249892E-1,9.795618057E0,9.796661656E0
2.255364740E-1,-9.332008660E-2,1.250249892E-1,9.786046028E0,9.787289551E0
2.279999120E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
2.304634010E-1,-9.870393574E-2,1.345962733E-1,9.795618057E0,9.797039948E0
2.329268390E-1,-8.853443712E-2,1.154536903E-1,9.805189133E0,9.806268497E0
2.353903290E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
2.378537660E-1,-7.417750359E-2,1.202393398E-1,9.800403595E0,9.801421857E0
2.403172560E-1,-7.956135273E-2,1.345962733E-1,9.800403595E0,9.801650718E0
2.427806930E-1,-8.434699476E-2,1.447657645E-1,9.809974670E0,9.811405331E0
2.452441830E-1,-9.810572863E-2,1.298106313E-1,9.790832520E0,9.792184484E0
2.477076200E-1,-8.434699476E-2,1.447657645E-1,9.786046028E0,9.787480187E0
2.501711100E-1,-7.956135273E-2,1.393819153E-1,9.790832520E0,9.792147811E0
2.526345470E-1,-9.391828626E-2,1.393819153E-1,9.800403595E0,9.801844652E0
2.550980370E-1,-1.130608693E-1,1.393819153E-1,9.809974670E0,9.811616233E0
2.575614740E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
2.600249640E-1,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
2.624884010E-1,-8.913264424E-2,1.393819153E-1,9.795618057E0,9.797015110E0
2.649518910E-1,-9.391828626E-2,1.202393398E-1,9.805189133E0,9.806376093E0
2.674153290E-1,-9.391828626E-2,1.345962733E-1,9.805189133E0,9.806562636E0
2.698788180E-1,-7.956135273E-2,1.345962733E-1,9.800403595E0,9.801650718E0
2.723422560E-1,-9.391828626E-2,1.393819153E-1,9.790832520E0,9.792274985E0
2.748057450E-1,-8.434699476E-2,1.447657645E-1,9.805189133E0,9.806620492E0
2.772691830E-1,-8.913264424E-2,1.393819153E-1,9.805189133E0,9.806584822E0
2.797326720E-1,-9.391828626E-2,1.250249892E-1,9.805189133E0,9.806435939E0
2.821961100E-1,-9.391828626E-2,1.345962733E-1,9.800403595E0,9.801777769E0
2.846595990E-1,-7.956135273E-2,1.298106313E-1,9.805189133E0,9.806371130E0
2.871230370E-1,-8.374879509E-2,1.106680483E-1,9.795618057E0,9.796601166E0
2.895865260E-1,-9.391828626E-2,1.345962733E-1,9.805189133E0,9.806562636E0
2.920499640E-1,-9.391828626E-2,1.202393398E-1,9.805189133E0,9.806376093E0
2.945134540E-1,-1.028913707E-1,1.250249892E-1,9.790832520E0,9.792171328E0
2.969768910E-1,-9.332008660E-2,1.202393398E-1,9.790832520E0,9.792015501E0
2.994403810E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
3.019038180E-1,-9.870393574E-2,1.393819153E-1,9.795618057E0,9.797106864E0
3.043673080E-1,-9.870393574E-2,1.298106313E-1,9.809974670E0,9.811329997E0
3.068307450E-1,-8.434699476E-2,1.202393398E-1,9.805189133E0,9.806289096E0
3.092942350E-1,-8.853443712E-2,1.250249892E-1,9.786046028E0,9.787245090E0
3.117576720E-1,-7.956135273E-2,1.447657645E-1,9.795618057E0,9.797010782E0
3.142211620E-1,-7.896314561E-2,1.154536903E-1,9.800403595E0,9.801401704E0
3.166845990E-1,-9.391828626E-2,1.393819153E-1,9.795618057E0,9.797059818E0
3.191480890E-1,-9.810572863E-2,1.106680483E-1,9.795618057E0,9.796734419E0
3.216115260E-1,-8.913264424E-2,1.250249892E-1,9.805189133E0,9.806391273E0
3.240750160E-1,-9.870393574E-2,1.298106313E-1,9.795618057E0,9.796975369E0
3.265384540E-1,-9.391828626E-2,1.345962733E-1,9.800403595E0,9.801777769E0
3.290019430E-1,-9.391828626E-2,1.393819153E-1,9.795618057E0,9.797059818E0
3.314653810E-1,-1.034895778E-1,1.495514214E-1,9.795618057E0,9.797306203E0
3.339288700E-1,-9.391828626E-2,1.345962733E-1,9.805189133E0,9.806562636E0
3.363923080E-1,-9.810572863E-2,1.298106313E-1,9.790832520E0,9.792184484E0
3.388557970E-1,-8.434699476E-2,1.202393398E-1,9.805189133E0,9.806289096E0
3.413192350E-1,-8.434699476E-2,1.345962733E-1,9.814760208E0,9.816045462E0
3.437827240E-1,-7.956135273E-2,1.298106313E-1,9.819545746E0,9.820726015E0
3.462461620E-1,-8.434699476E-2,1.393819153E-1,9.800403595E0,9.801757616E0
3.487096510E-1,-9.810572863E-2,1.202393398E-1,9.795618057E0,9.796847215E0
3.511730890E-1,-8.913264424E-2,1.250249892E-1,9.805189133E0,9.806391273E0
3.536365790E-1,-8.913264424E-2,1.345962733E-1,9.800403595E0,9.801733082E0
3.561000160E-1,-9.391828626E-2,1.298106313E-1,9.795618057E0,9.796928323E0
3.585635060E-1,-1.076770201E-1,1.202393398E-1,9.790832520E0,9.792162849E0
3.610269430E-1,-9.870393574E-2,1.298106313E-1,9.805189133E0,9.806545120E0
3.634904330E-1,-9.391828626E-2,1.393819153E-1,9.805189133E0,9.806629487E0
3.659538700E-1,-8.913264424E-2,1.543370634E-1,9.800403595E0,9.802024035E0
3.684173600E-1,-9.391828626E-2,1.345962733E-1,9.790832520E0,9.792208036E0
3.708807970E-1,-8.434699476E-2,1.298106313E-1,9.800403595E0,9.801626183E0
3.733442870E-1,-1.028913707E-1,1.250249892E-1,9.795618057E0,9.796956211E0
3.758077240E-1,-8.913264424E-2,1.250249892E-1,9.800403595E0,9.801606322E0
3.782712140E-1,-7.896314561E-2,1.250249892E-1,9.800403595E0,9.801519120E0
3.807346510E-1,-9.391828626E-2,1.393819153E-1,9.795618057E0,9.797059818E0
3.831981410E-1,-9.870393574E-2,1.298106313E-1,9.795618057E0,9.796975369E0
3.856615790E-1,-9.391828626E-2,1.393819153E-1,9.800403595E0,9.801844652E0
3.881250680E-1,-8.374879509E-2,1.345962733E-1,9.781260490E0,9.782545006E0
3.905885580E-1,-9.391828626E-2,1.298106313E-1,9.800403595E0,9.801713221E0
3.930519950E-1,-9.391828626E-2,1.202393398E-1,9.809974670E0,9.811161051E0
3.955154850E-1,-9.810572863E-2,1.058823988E-1,9.809974670E0,9.811036584E0
3.979789220E-1,-7.956135273E-2,1.393819153E-1,9.805189133E0,9.806502499E0
4.004424120E-1,-9.870393574E-2,1.250249892E-1,9.809974670E0,9.811267846E0
4.029058490E-1,-9.391828626E-2,1.345962733E-1,9.809974670E0,9.811347504E0
4.053693390E-1,-9.870393574E-2,1.250249892E-1,9.800403595E0,9.801698033E0
4.078327760E-1,-9.332008660E-2,1.202393398E-1,9.790832520E0,9.792015501E0
4.102962660E-1,-9.391828626E-2,1.345962733E-1,9.805189133E0,9.806562636E0
4.127597040E-1,-7.956135273E-2,1.202393398E-1,9.809974670E0,9.811034122E0
4.152231410E-1,-9.810572863E-2,1.106680483E-1,9.795618057E0,9.796734419E0
4.176866310E-1,-9.332008660E-2,1.298106313E-1,9.790832520E0,9.792137707E0
4.201501200E-1,-9.870393574E-2,1.447657645E-1,9.805189133E0,9.806754485E0
4.226135580E-1,-8.913264424E-2,1.298106313E-1,9.795618057E0,9.796883614E0
4.250770470E-1,-8.434699476E-2,1.154536903E-1,9.809974670E0,9.811016614E0
4.275404850E-1,-1.082752272E-1,1.250249892E-1,9.800403595E0,9.801799090E0
4.300039740E-1,-9.870393574E-2,1.345962733E-1,9.790832520E0,9.792255105E0
4.324674120E-1,-9.391828626E-2,1.250249892E-1,9.809974670E0,9.811220868E0
4.349309010E-1,-8.434699476E-2,1.298106313E-1,9.819545746E0,9.820765951E0
4.373943390E-1,-9.391828626E-2,1.298106313E-1,9.809974670E0,9.811283019E0
4.398578290E-1,-9.391828626E-2,1.298106313E-1,9.800403595E0,9.801713221E0
4.423212660E-1,-7.477571070E-2,1.447657645E-1,9.790832520E0,9.792188211E0
4.447847560E-1,-1.028913707E-1,1.202393398E-1,9.800403595E0,9.801681221E0
4.472481930E-1,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
4.497116830E-1,-9.870393574E-2,1.202393398E-1,9.805189133E0,9.806423094E0
4.521751200E-1,-9.391828626E-2,1.202393398E-1,9.814760208E0,9.815946011E0
4.546386100E-1,-9.870393574E-2,1.250249892E-1,9.814760208E0,9.816052753E0
4.571020470E-1,-9.870393574E-2,1.393819153E-1,9.805189133E0,9.806676487E0
4.595655370E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
4.620289740E-1,-9.870393574E-2,1.250249892E-1,9.800403595E0,9.801698033E0
4.644924640E-1,-7.896314561E-2,1.345962733E-1,9.790832520E0,9.792076019E0
4.669559010E-1,-8.853443712E-2,1.202393398E-1,9.786046028E0,9.787185127E0
4.694193910E-1,-8.853443712E-2,1.298106313E-1,9.790832520E0,9.792093268E0
4.718828290E-1,-9.391828626E-2,1.298106313E-1,9.800403595E0,9.801713221E0
4.743463180E-1,-9.870393574E-2,1.250249892E-1,9.819545746E0,9.820837661E0
4.768097560E-1,-9.391828626E-2,1.298106313E-1,9.805189133E0,9.806498120E0
4.792732450E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
4.817366830E-1,-9.332008660E-2,1.154536903E-1,9.800403595E0,9.801527882E0
4.842001720E-1,-9.391828626E-2,1.298106313E-1,9.809974670E0,9.811283019E0
4.866636100E-1,-9.391828626E-2,1.345962733E-1,9.809974670E0,9.811347504E0
4.891270990E-1,-7.956135273E-2,1.393819153E-1,9.800403595E0,9.801717602E0
4.915905890E-1,-1.034895778E-1,1.393819153E-1,9.795618057E0,9.797156247E0
4.940540260E-1,-1.034895778E-1,1.298106313E-1,9.800403595E0,9.801809604E0
4.965175160E-1,-8.853443712E-2,1.154536903E-1,9.795618057E0,9.796698476E0
4.989809540E-1,-8.853443712E-2,1.202393398E-1,9.790832520E0,9.791971062E0
5.014444430E-1,-1.082752272E-1,1.298106313E-1,9.805189133E0,9.806646127E0
5.039078810E-1,-9.391828626E-2,1.298106313E-1,9.809974670E0,9.811283019E0
5.063713700E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
5.088348080E-1,-8.853443712E-2,1.154536903E-1,9.805189133E0,9.806268497E0
5.112982970E-1,-8.374879509E-2,1.154536903E-1,9.790832520E0,9.791871366E0
5.137617350E-1,-9.332008660E-2,1.202393398E-1,9.795618057E0,9.796800460E0
5.162252240E-1,-9.810572863E-2,1.250249892E-1,9.795618057E0,9.796907119E0
5.186886620E-1,-7.896314561E-2,1.250249892E-1,9.790832520E0,9.791949134E0
5.211521510E-1,-9.391828626E-2,1.393819153E-1,9.795618057E0,9.797059818E0
5.236155890E-1,-8.913264424E-2,1.202393398E-1,9.809974670E0,9.811116407E0
5.260790790E-1,-8.434699476E-2,1.298106313E-1,9.814760208E0,9.815981008E0
5.285425160E-1,-7.477571070E-2,1.345962733E-1,9.809974670E0,9.811182936E0
5.310060060E-1,-8.434699476E-2,1.250249892E-1,9.805189133E0,9.806348943E0
5.334694430E-1,-8.853443712E-2,1.202393398E-1,9.795618057E0,9.796756043E0
5.359329330E-1,-9.391828626E-2,1.345962733E-1,9.795618057E0,9.796992902E0
5.383963700E-1,-8.913264424E-2,1.250249892E-1,9.814760208E0,9.815961177E0
5.408598600E-1,-8.853443712E-2,1.202393398E-1,9.800403595E0,9.801541025E0
5.433232970E-1,-9.391828626E-2,1.202393398E-1,9.805189133E0,9.806376093E0
5.457867870E-1,-7.956135273E-2,1.202393398E-1,9.809974670E0,9.811034122E0
5.482502240E-1,-8.434699476E-2,1.298106313E-1,9.814760208E0,9.815981008E0
5.507137140E-1,-7.956135273E-2,1.298106313E-1,9.805189133E0,9.806371130E0
5.531772040E-1,-1.034895778E-1,1.393819153E-1,9.805189133E0,9.806725822E0
5.556406410E-1,-9.391828626E-2,1.345962733E-1,9.800403595E0,9.801777769E0
5.581041310E-1,-1.082752272E-1,1.250249892E-1,9.814760208E0,9.816153662E0
5.605675680E-1,-8.913264424E-2,1.298106313E-1,9.795618057E0,9.796883614E0
5.630310580E-1,-9.391828626E-2,1.345962733E-1,9.795618057E0,9.796992902E0
5.654944950E-1,-1.082752272E-1,1.250249892E-1,9.795618057E0,9.797014234E0
5.679579850E-1,-8.853443712E-2,1.154536903E-1,9.790832520E0,9.791913466E0
5.704214220E-1,-8.434699476E-2,1.345962733E-1,9.805189133E0,9.806475641E0
5.728849120E-1,-9.870393574E-2,1.250249892E-1,9.809974670E0,9.811267846E0
5.753483490E-1,-1.028913707E-1,1.298106313E-1,9.790832520E0,9.792233599E0
5.778118390E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
5.802752760E-1,-7.896314561E-2,1.250249892E-1,9.790832520E0,9.791949134E0
5.827387660E-1,-1.082752272E-1,1.393819153E-1,9.790832520E0,9.792423207E0
5.852022040E-1,-1.082752272E-1,1.202393398E-1,9.805189133E0,9.806524101E0
5.876656930E-1,-1.034895778E-1,1.298106313E-1,9.795618057E0,9.797024753E0
5.901291310E-1,-8.434699476E-2,1.250249892E-1,9.800403595E0,9.801563972E0
5.925926200E-1,-9.810572863E-2,1.202393398E-1,9.795618057E0,9.796847215E0
5.950560580E-1,-9.332008660E-2,1.250249892E-1,9.790832520E0,9.792075434E0
5.975195470E-1,-9.810572863E-2,1.298106313E-1,9.786046028E0,9.787398653E0
5.999829850E-1,-7.896314561E-2,1.298106313E-1,9.795618057E0,9.796796369E0
6.024464740E-1,-8.374879509E-2,1.202393398E-1,9.781260490E0,9.782358005E0
6.049099640E-1,-8.434699476E-2,1.202393398E-1,9.809974670E0,9.811074098E0
6.073734010E-1,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
6.098368910E-1,-9.391828626E-2,1.298106313E-1,9.800403595E0,9.801713221E0
6.123003290E-1,-8.434699476E-2,1.345962733E-1,9.805189133E0,9.806475641E0
6.147637660E-1,-9.870393574E-2,1.298106313E-1,9.814760208E0,9.816114874E0
6.172272560E-1,-9.870393574E-2,1.345962733E-1,9.809974670E0,9.811394481E0
6.196906930E-1,-9.391828626E-2,1.393819153E-1,9.805189133E0,9.806629487E0
6.221541830E-1,-8.434699476E-2,1.298106313E-1,9.805189133E0,9.806411125E0
6.246176720E-1,-8.374879509E-2,1.250249892E-1,9.786046028E0,9.787202970E0
6.270811100E-1,-9.870393574E-2,1.202393398E-1,9.805189133E0,9.806423094E0
6.295445990E-1,-8.853443712E-2,1.202393398E-1,9.795618057E0,9.796756043E0
6.320080370E-1,-7.956135273E-2,1.298106313E-1,9.805189133E0,9.806371130E0
6.344715260E-1,-8.374879509E-2,1.298106313E-1,9.790832520E0,9.792051168E0
6.369349640E-1,-8.913264424E-2,1.250249892E-1,9.800403595E0,9.801606322E0
6.393984540E-1,-1.028913707E-1,1.154536903E-1,9.800403595E0,9.801623682E0
6.418618910E-1,-7.477571070E-2,1.345962733E-1,9.800403595E0,9.801613040E0
6.443253810E-1,-8.434699476E-2,1.298106313E-1,9.805189133E0,9.806411125E0
6.467888180E-1,-8.913264424E-2,1.250249892E-1,9.805189133E0,9.806391273E0
6.492523080E-1,-9.391828626E-2,1.393819153E-1,9.809974670E0,9.811414322E0
6.517157450E-1,-8.913264424E-2,1.298106313E-1,9.814760208E0,9.816023297E0
6.541792350E-1,-1.124626622E-1,1.202393398E-1,9.795618057E0,9.797001504E0
6.566426720E-1,-9.870393574E-2,1.298106313E-1,9.809974670E0,9.811329997E0
6.591061620E-1,-9.810572863E-2,1.202393398E-1,9.800403595E0,9.801632153E0
6.615695990E-1,-8.913264424E-2,1.250249892E-1,9.805189133E0,9.806391273E0
6.640330890E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
6.664965260E-1,-8.853443712E-2,1.202393398E-1,9.795618057E0,9.796756043E0
6.689600160E-1,-7.477571070E-2,1.298106313E-1,9.805189133E0,9.806333471E0
6.714234540E-1,-7.896314561E-2,1.202393398E-1,9.795618057E0,9.796674221E0
6.738869430E-1,-7.956135273E-2,1.393819153E-1,9.790832520E0,9.792147811E0
6.763504330E-1,-8.374879509E-2,1.298106313E-1,9.790832520E0,9.792051168E0
6.788138700E-1,-9.810572863E-2,1.250249892E-1,9.795618057E0,9.796907119E0
6.812773600E-1,-9.391828626E-2,1.393819153E-1,9.800403595E0,9.801844652E0
6.837407970E-1,-9.810572863E-2,1.250249892E-1,9.795618057E0,9.796907119E0
6.862042870E-1,-8.853443712E-2,1.154536903E-1,9.800403595E0,9.801483486E0
6.886677240E-1,-8.913264424E-2,1.298106313E-1,9.805189133E0,9.806453455E0
6.911312140E-1,-8.913264424E-2,1.298106313E-1,9.795618057E0,9.796883614E0
6.935946510E-1,-8.853443712E-2,1.250249892E-1,9.795618057E0,9.796815948E0
6.960581410E-1,-9.391828626E-2,1.202393398E-1,9.809974670E0,9.811161051E0
6.985215790E-1,-8.913264424E-2,1.298106313E-1,9.805189133E0,9.806453455E0
7.009850680E-1,-9.870393574E-2,1.250249892E-1,9.805189133E0,9.806482939E0
7.034485060E-1,-9.332008660E-2,1.154536903E-1,9.805189133E0,9.806312871E0
7.059119950E-1,-9.870393574E-2,1.154536903E-1,9.814760208E0,9.815935511E0
7.083754330E-1,-8.913264424E-2,1.345962733E-1,9.800403595E0,9.801733082E0
7.108389220E-1,-9.870393574E-2,1.202393398E-1,9.809974670E0,9.811208030E0
7.133023600E-1,-1.028913707E-1,1.202393398E-1,9.795618057E0,9.796896307E0
7.157658490E-1,-7.956135273E-2,1.298106313E-1,9.800403595E0,9.801586169E0
7.182292870E-1,-9.810572863E-2,1.250249892E-1,9.795618057E0,9.796907119E0
7.206927760E-1,-8.913264424E-2,1.447657645E-1,9.814760208E0,9.816232459E0
7.231562660E-1,-9.391828626E-2,1.393819153E-1,9.805189133E0,9.806629487E0
7.256197040E-1,-8.434699476E-2,1.393819153E-1,9.800403595E0,9.801757616E0
7.280831930E-1,-8.434699476E-2,1.345962733E-1,9.800403595E0,9.801690732E0
7.305466310E-1,-9.810572863E-2,1.250249892E-1,9.790832520E0,9.792122212E0
7.330101200E-1,-8.853443712E-2,1.298106313E-1,9.790832520E0,9.792093268E0
7.354735580E-1,-8.853443712E-2,1.345962733E-1,9.781260490E0,9.782587147E0
7.379370470E-1,-9.391828626E-2,1.393819153E-1,9.795618057E0,9.797059818E0
